"name","value","Game","target"
"Best linear",250.1,"Space Invaders",1652
"Best linear",1070,"Star Gunner",10250
"Best linear",-0.1,"Tennis",-8.9
"Best linear",3741,"Time Pilot",5925
"Best linear",114.3,"Tutankham",167.6
"Best linear",3533,"Up and Down",9082
"Best linear",66,"Venture",1188
"Best linear",16871,"Video Pinball",17298
"Best linear",1981,"Wizard of Wor",4757
"Best linear",3365,"Zaxxon",9173
"C51 noop",3166,"Alien",6875
"C51 noop",1735,"Amidar",1676
"C51 noop",7203,"Assault",1496
"C51 noop",406211,"Asterix",8503
"C51 noop",1516,"Asteroids",13157
"C51 noop",841075,"Atlantis",29028
"C51 noop",976,"Bank Heist",734.4
"C51 noop",28742,"Battle Zone",37800
"C51 noop",14074,"Beam Rider",7456
"C51 noop",1645,"Berzerk",2630.4
"C51 noop",81.8,"Bowling",154.8
"C51 noop",97.8,"Boxing",4.3
"C51 noop",748,"Breakout",31.8
"C51 noop",9646,"Centipede",11963
"C51 noop",15600,"Chopper Command",9882
"C51 noop",179877,"Crazy Climber",35411
"C51 noop",130955,"Demon Attack",3401
"C51 noop",2.5,"Double Dunk",-15.5
"C51 noop",3454,"Enduro",309.6
"C51 noop",8.9,"Fishing Derby",5.5
"C51 noop",33.9,"Freeway",29.6
"C51 noop",3965,"Frostbite",4355
"C51 noop",33641,"Gopher",2321
"C51 noop",440,"Gravitar",2672
"C51 noop",38874,"HERO",25763
"C51 noop",-3.5,"Ice Hockey",0.9
"C51 noop",1909,"James Bond",406.7
"C51 noop",12853,"Kangaroo",3035
"C51 noop",9735,"Krull",2395
"C51 noop",48192,"Kung-Fu Master",22736
"C51 noop",0,"Montezuma's Revenge",4367
"C51 noop",3415,"Ms. Pacman",15693
"C51 noop",12542,"Name This Game",4076
"C51 noop",20.9,"Pong",9.3
"C51 noop",15095,"Private Eye",69571
"C51 noop",23784,"Q*Bert",13455
"C51 noop",17322,"River Raid",13513
"C51 noop",55839,"Road Runner",7845
"C51 noop",52.3,"Robotank",11.9
"C51 noop",266434,"Seaquest",20182
"C51 noop",5747,"Space Invaders",1652
"C51 noop",49095,"Star Gunner",10250
"C51 noop",23.1,"Tennis",-8.9
"C51 noop",8329,"Time Pilot",5925
"C51 noop",280,"Tutankham",167.6
"C51 noop",15612,"Up and Down",9082
"C51 noop",1520,"Venture",1188
"C51 noop",949604,"Video Pinball",17298
"C51 noop",9300,"Wizard of Wor",4757
"C51 noop",10513,"Zaxxon",9173
"C51 noop",17490,"Phoenix",2665.5
"C51 noop",0,"Pitfall!",22736.3
"C51 noop",-13901,"Skiing",13455
"C51 noop",8342,"Solaris",17118
"C51 noop",35050,"Yars Revenge",5650
"C51 noop",47092,"Defender",18688.9
"C51 noop",6.8,"Surround",6.5
"DDQN (tuned) hs",1033.4,"Alien",6875
"DDQN (tuned) hs",169.1,"Amidar",1676
"DDQN (tuned) hs",6060.8,"Assault",1496
"DDQN (tuned) hs",16837,"Asterix",8503
"DDQN (tuned) hs",1193.2,"Asteroids",13157
"DDQN (tuned) hs",319688,"Atlantis",29028
"DDQN (tuned) hs",886,"Bank Heist",734.4
"DDQN (tuned) hs",24740,"Battle Zone",37800
"DDQN (tuned) hs",17417.2,"Beam Rider",7456
"DDQN (tuned) hs",1011.1,"Berzerk",2630.4
"DDQN (tuned) hs",69.6,"Bowling",154.8
"DDQN (tuned) hs",73.5,"Boxing",4.3
"DDQN (tuned) hs",368.9,"Breakout",31.8
"DDQN (tuned) hs",3853.5,"Centipede",11963
"DDQN (tuned) hs",3495,"Chopper Command",9882
"DDQN (tuned) hs",113782,"Crazy Climber",35411
"DDQN (tuned) hs",69803.4,"Demon Attack",3401
"DDQN (tuned) hs",-0.3,"Double Dunk",-15.5
"DDQN (tuned) hs",1216.6,"Enduro",309.6
"DDQN (tuned) hs",3.2,"Fishing Derby",5.5
"DDQN (tuned) hs",28.8,"Freeway",29.6
"DDQN (tuned) hs",1448.1,"Frostbite",4355
"DDQN (tuned) hs",15253,"Gopher",2321
"DDQN (tuned) hs",200.5,"Gravitar",2672
"DDQN (tuned) hs",14892.5,"HERO",25763
"DDQN (tuned) hs",-2.5,"Ice Hockey",0.9
"DDQN (tuned) hs",573,"James Bond",406.7
"DDQN (tuned) hs",11204,"Kangaroo",3035
"DDQN (tuned) hs",6796.1,"Krull",2395
"DDQN (tuned) hs",30207,"Kung-Fu Master",22736
"DDQN (tuned) hs",42,"Montezuma's Revenge",4367
"DDQN (tuned) hs",1241.3,"Ms. Pacman",15693
"DDQN (tuned) hs",8960.3,"Name This Game",4076
"DDQN (tuned) hs",19.1,"Pong",9.3
"DDQN (tuned) hs",-575.5,"Private Eye",69571
"DDQN (tuned) hs",11020.8,"Q*Bert",13455
"DDQN (tuned) hs",10838.4,"River Raid",13513
"DDQN (tuned) hs",43156,"Road Runner",7845
"DDQN (tuned) hs",59.1,"Robotank",11.9
"DDQN (tuned) hs",14498,"Seaquest",20182
"DDQN (tuned) hs",2628.7,"Space Invaders",1652
"DDQN (tuned) hs",58365,"Star Gunner",10250
"DDQN (tuned) hs",-7.8,"Tennis",-8.9
"DDQN (tuned) hs",6608,"Time Pilot",5925
"DDQN (tuned) hs",92.2,"Tutankham",167.6
"DDQN (tuned) hs",19086.9,"Up and Down",9082
"DDQN (tuned) hs",21,"Venture",1188
"DDQN (tuned) hs",367823.7,"Video Pinball",17298
"DDQN (tuned) hs",6201,"Wizard of Wor",4757
"DDQN (tuned) hs",8593,"Zaxxon",9173
"DDQN (tuned) hs",12366.5,"Phoenix",2665.5
"DDQN (tuned) hs",-186.7,"Pitfall!",22736.3
"DDQN (tuned) hs",-11490.4,"Skiing",13455
"DDQN (tuned) hs",810,"Solaris",17118
"DDQN (tuned) hs",6270.6,"Yars Revenge",5650
"DDQN (tuned) hs",27510,"Defender",18688.9
"DDQN (tuned) hs",1.9,"Surround",6.5
"DDQN (tuned) noop",3747.7,"Alien",6875
"DDQN (tuned) noop",1793.3,"Amidar",1676
"DDQN (tuned) noop",5393.2,"Assault",1496
"DDQN (tuned) noop",17356.5,"Asterix",8503
"DDQN (tuned) noop",734.7,"Asteroids",13157
"DDQN (tuned) noop",106056,"Atlantis",29028
"DDQN (tuned) noop",1030.6,"Bank Heist",734.4
"DDQN (tuned) noop",31700,"Battle Zone",37800
"DDQN (tuned) noop",13772.8,"Beam Rider",7456
"DDQN (tuned) noop",1225.4,"Berzerk",2630.4
"DDQN (tuned) noop",68.1,"Bowling",154.8
"DDQN (tuned) noop",91.6,"Boxing",4.3
"DDQN (tuned) noop",418.5,"Breakout",31.8
"DDQN (tuned) noop",5409.4,"Centipede",11963
"DDQN (tuned) noop",5809,"Chopper Command",9882
"DDQN (tuned) noop",117282,"Crazy Climber",35411
"DDQN (tuned) noop",58044.2,"Demon Attack",3401
"DDQN (tuned) noop",-5.5,"Double Dunk",-15.5
"DDQN (tuned) noop",1211.8,"Enduro",309.6
"DDQN (tuned) noop",15.5,"Fishing Derby",5.5
"DDQN (tuned) noop",33.3,"Freeway",29.6
"DDQN (tuned) noop",1683.3,"Frostbite",4355
"DDQN (tuned) noop",14840.8,"Gopher",2321
"DDQN (tuned) noop",412,"Gravitar",2672
"DDQN (tuned) noop",20130.2,"HERO",25763
"DDQN (tuned) noop",-2.7,"Ice Hockey",0.9
"DDQN (tuned) noop",1358,"James Bond",406.7
"DDQN (tuned) noop",12992,"Kangaroo",3035
"DDQN (tuned) noop",7920.5,"Krull",2395
"DDQN (tuned) noop",29710,"Kung-Fu Master",22736
"DDQN (tuned) noop",0,"Montezuma's Revenge",4367
"DDQN (tuned) noop",2711.4,"Ms. Pacman",15693
"DDQN (tuned) noop",10616,"Name This Game",4076
"DDQN (tuned) noop",20.9,"Pong",9.3
"DDQN (tuned) noop",129.7,"Private Eye",69571
"DDQN (tuned) noop",15088.5,"Q*Bert",13455
"DDQN (tuned) noop",14884.5,"River Raid",13513
"DDQN (tuned) noop",44127,"Road Runner",7845
"DDQN (tuned) noop",65.1,"Robotank",11.9
"DDQN (tuned) noop",16452.7,"Seaquest",20182
"DDQN (tuned) noop",2525.5,"Space Invaders",1652
"DDQN (tuned) noop",60142,"Star Gunner",10250
"DDQN (tuned) noop",-22.8,"Tennis",-8.9
"DDQN (tuned) noop",8339,"Time Pilot",5925
"DDQN (tuned) noop",218.4,"Tutankham",167.6
"DDQN (tuned) noop",22972.2,"Up and Down",9082
"DDQN (tuned) noop",98,"Venture",1188
"DDQN (tuned) noop",309941.9,"Video Pinball",17298
"DDQN (tuned) noop",7492,"Wizard of Wor",4757
"DDQN (tuned) noop",10163,"Zaxxon",9173
"DDQN (tuned) noop",12252.5,"Phoenix",2665.5
"DDQN (tuned) noop",-29.9,"Pitfall!",22736.3
"DDQN (tuned) noop",-9021.8,"Skiing",13455
"DDQN (tuned) noop",3067.8,"Solaris",17118
"DDQN (tuned) noop",11712.6,"Yars Revenge",5650
"DDQN (tuned) noop",35338.5,"Defender",18688.9
"DDQN (tuned) noop",-2.9,"Surround",6.5
"DDQN-PC",3459,"Montezuma's Revenge",4367
"DDQN+Pop-Art noop",3213.5,"Alien",6875
"DDQN+Pop-Art noop",782.5,"Amidar",1676
"DDQN+Pop-Art noop",9011.6,"Assault",1496
"DDQN+Pop-Art noop",18919.5,"Asterix",8503
"DDQN+Pop-Art noop",2869.3,"Asteroids",13157
"DDQN+Pop-Art noop",340076,"Atlantis",29028
"DDQN+Pop-Art noop",1103.3,"Bank Heist",734.4
"DDQN+Pop-Art noop",8220,"Battle Zone",37800
"DDQN+Pop-Art noop",8299.4,"Beam Rider",7456
"DDQN+Pop-Art noop",1199.6,"Berzerk",2630.4
"DDQN+Pop-Art noop",102.1,"Bowling",154.8
"DDQN+Pop-Art noop",99.3,"Boxing",4.3
"DDQN+Pop-Art noop",344.1,"Breakout",31.8
"DDQN+Pop-Art noop",49065.8,"Centipede",11963
"DDQN+Pop-Art noop",775,"Chopper Command",9882
