"name","Alien","Amidar","Assault","Asterix","Asteroids","Atlantis","Bank Heist","Battle Zone","Beam Rider","Berzerk","Bowling","Boxing","Breakout","Centipede","Chopper Command","Crazy Climber","Defender","Demon Attack","Double Dunk","Enduro","Fishing Derby","Freeway","Frostbite","Gopher","Gravitar","HERO","Ice Hockey","James Bond","Kangaroo","Krull","Kung-Fu Master","Montezuma's Revenge","Ms. Pacman","Name This Game","Phoenix","Pitfall!","Pong","Private Eye","Q*Bert","River Raid","Road Runner","Robotank","Seaquest","Skiing","Solaris","Space Invaders","Star Gunner","Surround","Tennis","Time Pilot","Tutankham","Up and Down","Venture","Video Pinball","Wizard of Wor","Yars Revenge","Zaxxon"
"Nature DQN",3069,739.5,3359,6012,1629,85641,429.7,26300,6846,NA,42.4,71.8,401.2,8309,6687,114103,NA,9711,-18.1,301.8,-0.8,30.3,328.3,8520,306.7,19950,-1.6,576.7,6740,3805,23270,0,2311,7257,NA,NA,18.9,1788,10596,8316,18257,51.6,5286,NA,NA,1976,57997,NA,-2.5,5947,186.7,8456,380,42684,3393,NA,4977
"Prior hs",1334.7,129.1,6548.9,22484.5,1745.1,330647,876.6,25520,31181.3,865.9,52,72.3,343,3489.1,4635,127512,23666.5,61277.5,16,1831,9.8,28.9,3510,34858.8,269.5,20889.9,-0.2,3961,12185,6872.8,31676,51,1865.9,10497.6,16903.6,-427,18.9,670.7,9944,11807.2,52264,56.2,25463.7,-10169.1,2272.8,3912.1,61582,5.9,-5.3,5963,56.9,12157.4,94,295972.8,5727,4687.4,9474
"Prior noop",4203.8,1838.9,7672.1,31527,2654.3,357324,1054.6,31530,23384.2,1305.6,47.9,95.6,373.9,4463.2,8600,141161,31286.5,71846.4,18.5,2093,39.5,33.7,4380.1,32487.2,548.5,23037.7,1.3,5148,16200,9728,39581,0,6518.7,12270.5,18992.7,-356.5,20.6,200,16256.5,14522.3,57608,62.6,26357.8,-9996.9,4309,2865.8,63302,8.9,0,9197,204.6,16154.1,54,282007.3,4802,11357,10469
"Prior+Duel hs",823.7,238.4,10950.6,364200,1021.9,423252,1004.6,30650,37412.2,2178.6,50.4,79.2,354.6,5570.2,8058,127853,34415,73371.3,-10.7,2223.9,17,28.2,4038.4,105148.4,167,15459.2,0.5,585,861,7658.6,37484,24,1007.8,13637.9,63597,-243.6,18.4,1277.6,14063,16496.8,54630,24.7,1431.2,-18955.8,280.6,8978,127073,-0.2,-13.2,4871,108.6,22681.3,29,447408.6,10471,58145.9,11320
"Prior+Duel noop",3941,2296.8,11477,375080,1192.7,395762,1503.1,35520,30276.5,3409,46.7,98.9,366,7687.5,13185,162224,41324.5,72878.6,-12.5,2306.4,41.3,33,7413,104368.2,238,21036.5,-0.4,812,1792,10374.4,48375,0,3327.3,15572.5,70324.3,0,20.9,206,18760.3,20607.6,62151,27.5,931.6,-19949.9,133.4,15311.5,125117,1.2,0,7553,245.9,33879.1,48,479197,12352,69618.1,13886
"RAINBOW hs",6022.9,202.8,14491.7,280114,2249.4,814684,826,52040,21768.5,1793.4,39.4,54.9,379.5,7160.9,10916,143962,47671.3,109670.7,-0.6,2061.1,22.6,29.1,4141.1,72595.7,567.5,50496.8,-0.7,18142.3,10841,6715.5,28999.8,154,2570.2,11686.5,103061.6,-37.6,19,1704.4,18397.6,15608.1,54261,55.2,19176,-11685.8,2860.7,12629,123853,7,-2.2,11190.5,126.9,92640.6,45,506817.2,14631.5,93007.9,19658
"RAINBOW noop",9491.7,5131.2,14198.5,428200.3,2712.8,826659.5,1358,62010,16850.2,2545.6,30,99.6,417.5,8167.3,16654,168788.5,55105,111185.2,-0.3,2125.9,31.3,34,9590.5,70354.6,1419.3,55887.4,1.1,19809,14637.5,8741.5,52181,384,5380.4,13136,108528.6,0,20.9,4234,33817.5,22920.8,62041,61.4,15898.9,-12957.8,3560.3,18789,127029,9.7,0,12926,241,125754.6,5.5,533936.5,17862.5,102557,22209.5
"REACTOR 500 hs",4958.6,503.2,6713.8,191948,4215,274196,876,57075,12877,1643.4,76,55.6,478.4,2674.3,71442.5,209784,221671,113853,22,2138.3,21.7,26.9,4743.5,89306.8,779.8,37833.4,4.9,13987.5,5587.5,7621.8,55357.7,1045.5,2540.1,8207.7,41426.7,-146.9,18,5309.4,19505.8,13032.9,97663.5,64.2,25887.9,-11904.4,1728.3,7950.9,74451.5,5.5,22.8,16929.5,162.9,49310.4,810,538975,16731.5,129871,25147.5
"REACTOR 500 noop",12689.1,1015.8,8323.3,205914,3726.1,302831,1259.7,64070,11033.4,2303.1,81,99.4,514.8,3422,107779,236422,223025,115154,23,2224.2,30.4,31.5,7932.2,89851,2041.8,43360.4,10.7,16056.2,11266.5,9896,65836.5,2643.5,3749.2,9543.8,46536.4,-8.9,20.6,15188.8,21509.2,17380.7,111310,70.4,20994.1,-10870.6,2099.6,10153.9,79521.5,7,23.6,18841.5,275.4,70790.4,1653.5,496101,19530.5,148855,27582.5
"REACTOR hs",2763.9,423,9994.2,26240.8,2771.3,280809.5,710.1,52300,9941.6,1186,72.4,75.1,465.5,2584,33150,182399,110446.3,101435.4,11,2127,17.7,26.9,4358.7,60743.2,583,30253.7,0.9,6741,5143.5,7815.9,49767.9,984,1714.6,8288.8,34956.5,-138.8,17.9,5751.4,20689.3,11987.3,66247,63.7,10694,-11809.5,1740.7,2010.2,67384.5,5.1,22.1,17205,164.6,48148.6,782,484384.2,10995,82113.5,20644
"REACTOR ND hs",924.1,174.8,15041.2,7269.8,3764.4,897803.5,852.8,84985,9298.9,1221.3,63.7,60.2,459,3974.5,17312,151295,162327.5,120682.2,22.2,2054.3,23.2,19.4,3497.8,36286.2,544,22673.3,11.1,12655.3,9111,7450.1,48781.5,45,1102.4,11359.7,8650.4,-99.2,18.5,5638.1,18117.8,12074,58568.5,67.1,3802.3,-9461.8,2000.1,1240.9,47532,0.3,22.5,15860.5,162.3,123798.7,26,273249,15265.5,87928.9,14155.5
"REACTOR ND noop",4199.4,1546.8,17543.8,16121,4467.4,968179.5,1236.8,98235,8811.8,1515.7,59.3,99.7,509.5,7267.2,19901.5,173274,181074.3,122782.5,23,2211.3,33.1,22.3,7136.7,36279.1,1804.8,27833,15.7,14524,13349,10237.8,61621.5,0,4416.9,12636.5,10261.4,-3.7,20.7,15198,21222.5,16957.3,66790.5,71.8,5071.6,-10632.9,2236,2387.1,48942,0.9,23.4,18871.5,263.2,194989.5,0,261720.2,18484,109607.5,16525
"REACTOR noop",6482.1,833,11013.5,36238.5,2780.4,308258,988.7,61220,8566.5,1641.4,75.4,99.4,518.4,3402.8,37568,194347,113128,100189,11.4,2230.1,23.2,31.4,8042.1,69135.1,1073.8,35542.2,3.4,7869.2,10484.5,9930.8,59799.5,2643.5,2724.3,9907.2,40092.2,-3.5,20.7,15177.1,22956.5,16608.3,71168,68.5,8425.8,-10753.4,2760,2448.6,70038,6.7,23.3,19401,272.6,64354.2,1597.5,469366,13170.5,102760,25215.5
"SARSA",103.2,183.6,537,1332,89,852.9,67.4,16.2,1743,NA,36.4,9.8,6.1,4647,16.9,149.8,NA,0,-16,159.4,-85.1,19.7,180.9,2368,429,7295,-3.2,354.1,8.8,3341,29151,259,1227,2247,NA,NA,-17.4,86,960.3,2650,89.1,12.4,675.5,NA,NA,267.9,9.4,NA,0,24.9,98.2,2449,0.6,19761,36.9,NA,21.4
"Sarsa-e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,1394.3,NA,NA,NA,NA,NA,NA,NA,NA,399.5,NA,NA,NA,NA,NA,NA,3895.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Sarsa-f-EB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2770.1,NA,NA,NA,NA,NA,NA,NA,NA,2745.4,NA,NA,NA,NA,NA,NA,4111.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169.2,NA,NA,NA,NA
"TRPO-hash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,5214,NA,412,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4467,NA,NA,NA,NA,NA,NA,NA,445,NA,NA,NA,NA
